dataset,strategy,trial,loss,type,total_time,metrics.rouge1,metrics.rouge2,metrics.rougeL,metrics.rougeLsum,metrics.bertscore_f1,metrics.bertscore_precision,metrics.bertscore_recall
xsum,greedy-decoding,1,0.8231356815964568,greedy decoding,143.92176866531372,0.1313044558380183,0.02107678952644621,0.09245760357919153,0.10893176684660323,0.8231356815964568,0.797626523994932,0.8508042406802084
xsum,greedy-decoding,2,0.837305662094378,greedy decoding,128.8042962551117,0.15338055227860356,0.03174784662260928,0.10988846011827322,0.1248441657235119,0.837305662094378,0.8137971151108835,0.8625763076193192
xsum,greedy-decoding,3,0.8400091154902589,greedy decoding,101.39648580551147,0.1507130256716061,0.027626340549449388,0.10347812219892535,0.12240462889707054,0.8400091154902589,0.8174198445151833,0.8641903879595738
xsum,greedy-decoding,4,0.8335742856941971,greedy decoding,151.38435983657837,0.12445735808747084,0.020103169644190608,0.08326508976218328,0.1027710386696442,0.8335742856941971,0.806951615155912,0.8623224929267285
xsum,greedy-decoding,5,0.8231356815964568,greedy decoding,140.08241844177246,0.1313044558380183,0.02107678952644621,0.09245760357919153,0.10893176684660323,0.8231356815964568,0.797626523994932,0.8508042406802084
xsum,greedy-decoding,6,0.8242731731311947,greedy decoding,116.17747235298157,0.13924264028864425,0.0212123832946169,0.09682526740641799,0.1131769006711518,0.8242731731311947,0.799797454885408,0.8507641863589194
xsum,greedy-decoding,7,0.8440143577024048,greedy decoding,69.3270058631897,0.1701868353361864,0.03231193995529015,0.11705973992689314,0.1339060015239088,0.8440143577024048,0.8247896321848327,0.8644217766967475
xsum,greedy-decoding,8,0.8231756564448861,greedy decoding,139.1239287853241,0.13117331490380868,0.021153151089364098,0.09273374463711903,0.1085399380866378,0.8231756564448861,0.7977733506875879,0.8507136462950239
xsum,greedy-decoding,9,0.834458787651623,greedy decoding,70.13287734985352,0.15620936055169382,0.020104818686247618,0.10624682538778865,0.12257684902339688,0.834458787651623,0.8152858983067905,0.8548069754067589
xsum,greedy-decoding,10,0.8471254098649118,greedy decoding,65.73568820953369,0.20376595202539616,0.043818611415850445,0.14711651458237457,0.16089095804499023,0.8471254098649118,0.8313445349534353,0.8637827062139324
xsum,greedy-decoding,11,0.8341429882189807,greedy decoding,72.69529867172241,0.15559357527854822,0.02044923416626821,0.10519502529719954,0.12372849845153788,0.8341429882189807,0.8142775788026697,0.8552639455187554
xsum,greedy-decoding,12,0.8331428252014459,greedy decoding,148.54226422309875,0.12631959921858493,0.022060975670097113,0.08549063467483148,0.10318971171358515,0.8331428252014459,0.8067022725647571,0.8617530681338965
xsum,greedy-decoding,13,0.8235712723404753,greedy decoding,131.7846200466156,0.13350193375606906,0.02160616734042325,0.09380570691223067,0.11041863039500975,0.8235712723404753,0.7986175651643791,0.8506007077647191
xsum,greedy-decoding,14,0.8264998431299247,greedy decoding,87.1643762588501,0.15267616180680335,0.02204147068434857,0.10551760791494239,0.12553460933380467,0.8264998431299247,0.8056336419255126,0.8488763500662411
xsum,greedy-decoding,15,0.8307876475885803,greedy decoding,93.61366868019104,0.14628979116384955,0.02161003441603887,0.09749074532247298,0.11865564226352221,0.8307876475885803,0.8064599796837452,0.8569740875094545
xsum,greedy-decoding,16,0.8340854183131573,greedy decoding,131.72197675704956,0.1334839603419709,0.023857031546997524,0.09044134796459236,0.10946202197124599,0.8340854183131573,0.8084575224156473,0.8617571767638711
xsum,greedy-decoding,17,0.8459698440981847,greedy decoding,65.99228620529175,0.1827673620093273,0.033865553053115255,0.12515521012389516,0.14131593544439755,0.8459698440981847,0.8290861108723808,0.8638394498357586
xsum,greedy-decoding,18,0.8331647982784346,greedy decoding,81.09399962425232,0.1536890519245986,0.020856551635249437,0.10297039322132061,0.12435314161712044,0.8331647982784346,0.8111117067290288,0.8567425193739873
xsum,greedy-decoding,19,0.8359561796281852,greedy decoding,61.074615240097046,0.1606539861076131,0.0190912328744149,0.11128460117247735,0.12505957674774387,0.8359561796281852,0.819005994235768,0.853874598648034
xsum,greedy-decoding,20,0.841266366780973,greedy decoding,80.30213069915771,0.1582012108393378,0.029328179577188737,0.10938785113781829,0.1267853590438459,0.841266366780973,0.8201279862254274,0.8638091344459384
xsum,greedy-decoding,21,0.8486153045121361,greedy decoding,60.13234210014343,0.17872710469365094,0.03131966294880636,0.12498164866063738,0.13767152429922905,0.8486153045121361,0.8338208210234549,0.8641727403098461
xsum,greedy-decoding,22,0.8486153045121361,greedy decoding,60.145389795303345,0.17872710469365094,0.03131966294880636,0.12498164866063738,0.13767152429922905,0.8486153045121361,0.8338208210234549,0.8641727403098461
xsum,greedy-decoding,23,0.8483945762409884,greedy decoding,61.122493505477905,0.17799908783029406,0.031262532525132045,0.1243885595230034,0.13827508048148862,0.8483945762409884,0.8332611094502842,0.8643171243807849
xsum,greedy-decoding,24,0.8489069552982554,greedy decoding,59.183645486831665,0.17876262001691678,0.031213300402121936,0.12513810101219452,0.13614000818722277,0.8489069552982554,0.8344329355978498,0.8641160522021499
xsum,greedy-decoding,25,0.8453799053734424,greedy decoding,71.62042021751404,0.171613678630879,0.031035303878343905,0.12303373875831561,0.13499239277236602,0.8453799053734424,0.8273298939069113,0.8645180866998785
xsum,greedy-decoding,26,0.8493672258713666,greedy decoding,58.21021389961243,0.17880674391010187,0.031463423881561314,0.12556610820611863,0.13588867555397338,0.8493672258713666,0.8351730394597147,0.8642744305087071
