dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
samsum,opt-6.7b,truncation multinomial sampling,0.451058851,0.190969969,0.369114803,0.368055709,0.908580175,0.908766069,0.908953481,0.473942218,0.228572439,0.388711878,0.387988053,0.911650996,0.915344575,0.908508122,634.5075002
samsum,opt-6.7b,multinomial sampling,0.453212648,0.206386512,0.36651807,0.365555967,0.907256564,0.905742861,0.909301854,0.454952645,0.203277587,0.367959319,0.367683456,0.908840169,0.910935667,0.907305379,647.6328871
samsum,opt-6.7b,top-k sampling,0.415578813,0.168526407,0.330437916,0.329593179,0.901287227,0.899655113,0.903387407,0.424118538,0.172730203,0.337073291,0.336860168,0.902507846,0.903333448,0.902139763,712.2527399
samsum,opt-13b,beam search top-k sampling,0.502575806,0.260592295,0.414723092,0.415483238,0.916045683,0.91536006,0.917146614,0.506357782,0.264065344,0.420870078,0.420388372,0.916413991,0.917332448,0.916044975,2413.925234
samsum,opt-13b,beam search,0.486961884,0.255944881,0.421413942,0.422322251,0.914704236,0.920400445,0.909556591,0.503619023,0.276439658,0.430247091,0.429971499,0.917522064,0.925750524,0.909956182,2510.274179
samsum,opt-13b,beam search multinomial sampling,0.481365483,0.240784915,0.412800298,0.411683229,0.913673573,0.923746743,0.904237877,0.494043703,0.262941265,0.420374429,0.419990886,0.915798564,0.92503104,0.907267348,2676.083175
samsum,opt-13b,grouped beam search,0.470103417,0.247786405,0.411626905,0.410044558,0.913011884,0.918232049,0.908298772,0.49788465,0.268274833,0.42321093,0.423266389,0.915920722,0.922377762,0.910075865,2574.470917
samsum,opt-13b,contrastive search,0.464909081,0.231172918,0.397918663,0.395955842,0.911312894,0.914466759,0.908648938,0.501052798,0.261626261,0.420668034,0.420488492,0.915681255,0.920724228,0.911196252,1792.239829
samsum,opt-13b,greedy decoding,0.462431639,0.226969347,0.398928176,0.39694119,0.911113403,0.914531518,0.908223828,0.490610771,0.243461603,0.40822687,0.408277272,0.913611276,0.918797925,0.908966803,1095.27624
samsum,opt-13b,top-p nucleus multinomial sampling,0.457775747,0.220273921,0.376531631,0.375781047,0.909005994,0.911082138,0.907378514,0.478350268,0.233294622,0.392409627,0.392400449,0.912149872,0.915455502,0.909355636,1135.85575
samsum,opt-13b,top-p nucleus top-k sampling,0.435794539,0.199196443,0.364356253,0.364236603,0.907968581,0.91114978,0.90531719,0.457994015,0.201080623,0.364313343,0.364041006,0.90882882,0.911161912,0.906976338,1184.729408
samsum,opt-13b,truncation multinomial sampling,0.445200263,0.18491158,0.360633118,0.359691648,0.904616833,0.904463304,0.90518353,0.444414034,0.197852194,0.360599422,0.360284589,0.905143815,0.908237931,0.902535655,1165.234139
samsum,opt-13b,multinomial sampling,0.430110635,0.190560192,0.354354995,0.353089377,0.903289746,0.903573163,0.903553225,0.460356609,0.212455495,0.376564844,0.376749912,0.908939513,0.912131311,0.906227478,1169.408553
samsum,opt-13b,top-k sampling,0.381064292,0.131728187,0.296931684,0.298507223,0.894580989,0.891909136,0.89765817,0.3910123,0.144899556,0.302900811,0.302953808,0.896146147,0.896259068,0.896484921,1262.566727
