dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
xsum,opt-30b,multinomial sampling,0.33258685771097596,0.12139268364868716,0.2628642952285759,0.2641787975572856,0.8932073326671824,0.8927106448248321,0.8939926408085168,0.3523707074760316,0.13507350060467432,0.27944807886481005,0.2794841423611556,0.8915214050221212,0.892972956293995,0.8904140672463815,27001.152683258057
xsum,opt-30b,top-k sampling,0.3269634206249714,0.10291946483030791,0.24963227707444813,0.25072227709798944,0.8923046448651482,0.891395744155435,0.893460354384254,0.3324970443518181,0.11900527819683845,0.26125903385558535,0.2613625927536738,0.8873825978711971,0.8875063785418723,0.8875922715374567,27860.003226041794
cnn_dailymail,opt-125m,beam search top-k sampling,0.3806289737411327,0.17679800979550564,0.2813869044232781,0.35633712800189266,0.8726265847042043,0.8825067922633182,0.8633165436406289,0.3460011763268853,0.1541190711843174,0.25168142806028315,0.32165867434306394,0.8656783809738264,0.8764194247495518,0.8556628877968286,2611.119255065918
cnn_dailymail,opt-125m,beam search multinomial sampling,0.3541913144411418,0.16407617174488193,0.2661064878805095,0.3312349927030233,0.8680894291529091,0.8811314330306105,0.8559620989266262,0.3394851263966243,0.1510314026382717,0.24862336401394391,0.31530410207206927,0.8655303926682171,0.8778574521318666,0.8540362543151918,3288.106297492981
cnn_dailymail,opt-125m,beam search,0.3421097999613025,0.126837626211196,0.23401357378762438,0.3162135734204511,0.8678530589226754,0.8842377874159044,0.8524697993391304,0.3249428797912075,0.11518530134871896,0.22423694161755686,0.30489554818073783,0.8632886064471881,0.8785535065488234,0.8489198058951795,4104.521579504013
cnn_dailymail,opt-125m,greedy decoding,0.3740462164874032,0.16112198915721238,0.2745453559147054,0.3495949872050166,0.8676678435776823,0.8751026731665417,0.8606755906535734,0.3511893739927528,0.14578209508067058,0.24956092680575864,0.32890183190369787,0.8638027076548697,0.8714146887365248,0.8566704743241829,614.4852056503296
cnn_dailymail,opt-125m,contrastive search,0.37433096163458,0.15858178452485056,0.2651996806005107,0.3520002858690049,0.8675238195286002,0.8704066923869553,0.8650036736201214,0.3535469487627862,0.14482698987785006,0.24704537332716536,0.3308632084371761,0.8644894928072104,0.8682250823242254,0.8611677505149608,4272.109804868698
cnn_dailymail,opt-125m,grouped beam search,0.3410586654890633,0.12793601981819847,0.23418033035256908,0.31432317692362244,0.8673532701307728,0.8843442099068755,0.851402223110199,0.32324464649640205,0.11428470031785168,0.22396620495517766,0.30333995872233827,0.8628326583705448,0.8787430707019744,0.8478462240889637,4900.030903100967
cnn_dailymail,opt-125m,top-p nucleus top-k sampling,0.33247062663032934,0.1096046745485296,0.21843826635714836,0.3118313107126166,0.8601065380598909,0.8657843323164088,0.8548054624629277,0.32673775900485985,0.10481974282009766,0.21405816678464276,0.30578002384990133,0.8589621101426667,0.8660792948113677,0.8522811638262919,2367.13697886467
cnn_dailymail,opt-125m,top-k sampling,0.31503705642570806,0.08882548010146876,0.20487012512941333,0.2981761329699387,0.8579707786601077,0.8657030309400251,0.8506960984199278,0.3128210959790127,0.08802158298464488,0.1996168820487335,0.29164954974793467,0.8556830736644457,0.8626884612754792,0.8491064955884098,2300.502773284912
cnn_dailymail,opt-125m,multinomial sampling,0.30700721276145604,0.08223440062905712,0.20181483876120745,0.28544752225483794,0.8550569177955709,0.8669782979514009,0.8437572640757407,0.3035536882814648,0.08353702708381147,0.19733180554075924,0.28238123077347754,0.8537587117590733,0.8640446671109755,0.843990983429115,1198.0274667739868
cnn_dailymail,opt-125m,top-p nucleus multinomial sampling,0.28442865373808807,0.08058531671654738,0.18461713774116423,0.26564375409515634,0.8549096340774208,0.8599698972958391,0.8501042967201561,0.27630760608926497,0.07777689986464587,0.18080306361987086,0.25801909487456853,0.8540893478109446,0.8599363969150958,0.8485970881140744,1092.4902868270874
cnn_dailymail,opt-125m,truncation multinomial sampling,0.29521118034377425,0.0698748211188128,0.18693324604026745,0.2756037340290073,0.8518858443024337,0.8619361962041547,0.8423861188273276,0.2888301555668989,0.06491951907000304,0.18317994001266608,0.2670795059143244,0.8503588115651194,0.8609124998050155,0.8403229558776744,1123.677723646164
cnn_dailymail,opt-350m,grouped beam search,0.380018351245952,0.1724048359614683,0.2781042094097935,0.3553906056187538,0.8714680626828183,0.877078495358908,0.8663230141003927,0.3724299918797146,0.1681588504463426,0.26534228444311325,0.34698421732448775,0.8695516876381141,0.8748545609214068,0.8647936983436201,10528.370593309402
