dataset,model,trial,loss,type,total_time,metrics.rouge1,metrics.rouge2,metrics.rougeL,metrics.rougeLsum,metrics.bertscore_f1,metrics.bertscore_precision,metrics.bertscore_recall
xsum,opt-125m,1,0.8687350194828183,top-p nucleus multinomial sampling,7.426349878311157,0.21848285261028427,0.05238380774809211,0.1721409525163959,0.17230981216945185,0.8687350194828183,0.8702871022271175,0.8674507561851951
xsum,opt-125m,2,0.8807708451560899,beam search multinomial sampling,40.344337463378906,0.285879328907356,0.07975002594645766,0.2276548169723704,0.22739125884071548,0.8807708451560899,0.8881926168413723,0.8737409366112129
xsum,opt-125m,3,0.8676598814188266,top-p nucleus multinomial sampling,12.302926778793335,0.24463882173019957,0.05575826081970965,0.18410351315794632,0.18483062586555155,0.8676598814188266,0.867378792926377,0.8682170638851091
xsum,opt-125m,4,0.8746378269850039,greedy decoding,7.747998476028442,0.2502078585736045,0.06155861735279036,0.1981970689516747,0.19807125367075534,0.8746378269850039,0.8764017680112053,0.8732316143372479
xsum,opt-125m,5,0.8757097405545852,greedy decoding,10.803170919418335,0.25086806583495225,0.061590627267728446,0.19991071909526276,0.199587107566754,0.8757097405545852,0.8780882463735693,0.8735958857863557
xsum,opt-125m,6,0.8610164587404213,contrastive search,32.63354992866516,0.18378719629433618,0.03360597970714979,0.13920238542593052,0.13920710170339162,0.8610164587404213,0.8624653623384588,0.859814970516691
xsum,opt-125m,7,0.8792122286908767,beam search multinomial sampling,30.403626203536987,0.2807078467175862,0.08036843225527852,0.22272168745336002,0.22288764035725273,0.8792122286908767,0.8813413375732946,0.8773280247753742
xsum,opt-125m,8,0.8645015873161017,multinomial sampling,11.379383087158203,0.1980108338532619,0.037798212234744076,0.1576890362918189,0.15776883124885022,0.8645015873161017,0.8653009656597587,0.8639436551168853
xsum,opt-125m,9,0.8713490314343396,contrastive search,40.37565064430237,0.2669406016468849,0.07078063893521497,0.2115076620494019,0.21223493789220688,0.8713490314343396,0.8730862625673705,0.8699766526035234
xsum,opt-125m,10,0.8795463279181835,beam search top-k sampling,14.872811794281006,0.2940796723681697,0.09073485871915085,0.23169367665080992,0.23332156022803743,0.8795463279181835,0.8814405956689049,0.877992623576931
xsum,opt-125m,11,0.8759127890362459,beam search multinomial sampling,31.27257251739502,0.2697389775786512,0.06575243015044374,0.2052519425353439,0.20606639304807653,0.8759127890362459,0.8781398470495262,0.8739714599123188
xsum,opt-125m,12,0.8791674433969984,grouped beam search,40.34630632400513,0.2649483491916306,0.07858923080028024,0.21548936220147263,0.21564742857552235,0.8791674433969984,0.8869424941493016,0.871753803655213
xsum,opt-125m,13,0.879269190863067,grouped beam search,39.84101152420044,0.2641137068299124,0.07600454188326104,0.21665798922367857,0.21652951454351718,0.879269190863067,0.8877113928981856,0.871191228721656
xsum,opt-125m,14,0.8681616187095642,top-p nucleus multinomial sampling,10.920824527740479,0.20581812066533473,0.047216702093846714,0.16397619368115024,0.16424540623010828,0.8681616187095642,0.8686715662479401,0.8678664985825034
xsum,opt-125m,15,0.8485197232050055,contrastive search,60.62614870071411,0.12760979531551025,0.01986701357819036,0.10518044510673373,0.10483771727149532,0.8485197232050055,0.8478422410347882,0.8495843433866314
xsum,opt-125m,16,0.8821874810200111,beam search,30.864583492279053,0.2941137244446226,0.08923150912599681,0.23712105470146697,0.2374440805580919,0.8821874810200111,0.8903768512548185,0.8744217578102561
xsum,opt-125m,17,0.8752008676528931,greedy decoding,11.185860633850098,0.248574899324291,0.060992471191302015,0.19749490692668337,0.1970554160498688,0.8752008676528931,0.8774218828070397,0.873260063867943
xsum,opt-125m,18,0.8653351524296928,top-k sampling,6.434138059616089,0.20513644053816568,0.03630067860508532,0.15595738568082662,0.15626930789185609,0.8653351524296928,0.8652645425469268,0.8656123596079209
xsum,opt-125m,19,0.8671050732042275,top-k sampling,6.249887943267822,0.22140521726350945,0.04944317237852436,0.17445697444837976,0.1746174284388844,0.8671050732042275,0.8676663724815145,0.8668132330857071
xsum,opt-125m,20,0.8692390199969796,beam search multinomial sampling,24.192224264144897,0.25031973371280913,0.05574040585440219,0.19372086420934004,0.1937597462191055,0.8692390199969796,0.8689534962177277,0.8698543012142181
xsum,opt-125m,21,0.8821874810200111,beam search,30.72523307800293,0.2941137244446226,0.08923150912599681,0.23712105470146697,0.2374440805580919,0.8821874810200111,0.8903768512548185,0.8744217578102561
xsum,opt-125m,22,0.8821874810200111,beam search,30.717763662338257,0.2941137244446226,0.08923150912599681,0.23712105470146697,0.2374440805580919,0.8821874810200111,0.8903768512548185,0.8744217578102561
xsum,opt-125m,23,0.8821874810200111,beam search,30.885053873062134,0.2941137244446226,0.08923150912599681,0.23712105470146697,0.2374440805580919,0.8821874810200111,0.8903768512548185,0.8744217578102561
xsum,opt-125m,24,0.8814598631625082,beam search,47.872270584106445,0.28179313490529373,0.08375455023401822,0.2270103446468711,0.22772339879615444,0.8814598631625082,0.8888679427259109,0.8744332135892382
xsum,opt-125m,25,0.8734682289993062,top-p nucleus top-k sampling,6.866213321685791,0.2544073390897603,0.060342705261975146,0.19740273051593582,0.19760113296483328,0.8734682289993062,0.8754247853568956,0.8718241155147552
xsum,opt-125m,26,0.8663570021881777,truncation multinomial sampling,6.283888101577759,0.20384463712146422,0.03638799840058328,0.155062031765497,0.15515820337948244,0.8663570021881777,0.867446130397273,0.865492491161122
xsum,opt-125m,27,0.8843031093186023,beam search,47.37724184989929,0.2919125589458219,0.09350212697014819,0.23690488436811108,0.23722255761156796,0.8843031093186023,0.8933970180212283,0.8756493271565905
