dataset,strategy,trial,loss,type,total_time,metrics.rouge1,metrics.rouge2,metrics.rougeL,metrics.rougeLsum,metrics.bertscore_f1,metrics.bertscore_precision,metrics.bertscore_recall
xsum,beam-search-multinomial-sampling,1,0.8939546481067059,beam search multinomial sampling,88.43586373329163,0.34147627819712134,0.12682873482030282,0.27890695551746675,0.27875904279006497,0.8939546481067059,0.9000680995922462,0.8881661827657737
xsum,beam-search-multinomial-sampling,2,0.9023698276164485,beam search multinomial sampling,105.99150562286377,0.3660338500297021,0.14479667498922355,0.2968096127782431,0.2966678903330629,0.9023698276164485,0.9104277701938853,0.8947255412737528
xsum,beam-search-multinomial-sampling,3,0.9014221494104347,beam search multinomial sampling,92.45144605636597,0.37311890768974987,0.15545885638219473,0.3058790829694217,0.3063378603723489,0.9014221494104347,0.9083306923800823,0.8949044107222089
xsum,beam-search-multinomial-sampling,4,0.8997252770498687,beam search multinomial sampling,121.1188747882843,0.3679848378894832,0.1454727925878634,0.2954349658058657,0.29652031973382936,0.8997252770498687,0.9054557768737569,0.8943358636369892
xsum,beam-search-multinomial-sampling,5,0.8951968322781956,beam search multinomial sampling,112.79121899604797,0.3510685753920554,0.13850637832518042,0.28379621976478986,0.28468793203887943,0.8951968322781956,0.9011574720635134,0.8896011049840965
xsum,beam-search-multinomial-sampling,6,0.8968368470668793,beam search multinomial sampling,88.68641066551208,0.3463681267695137,0.12887088190393234,0.2777968888715685,0.2772624903343039,0.8968368470668793,0.9033186108458275,0.8907567344459832
xsum,beam-search-multinomial-sampling,7,0.9005478299131581,beam search multinomial sampling,86.49385619163513,0.37204707939359427,0.15051185537621775,0.3010573994137762,0.30061804652311275,0.9005478299131581,0.9073609300688201,0.8941334164610096
xsum,beam-search-multinomial-sampling,8,0.8976643108854107,beam search multinomial sampling,83.9854507446289,0.3500627098255182,0.13663207790620385,0.2881784540812445,0.2877696655353401,0.8976643108854107,0.9048633359226526,0.8908630627043107
xsum,beam-search-multinomial-sampling,9,0.8993067367404115,beam search multinomial sampling,88.81941246986389,0.3752580619685545,0.1454452467298043,0.2922209302567895,0.292020047550946,0.8993067367404115,0.9035553236802419,0.8953868705852359
xsum,beam-search-multinomial-sampling,10,0.8989681455434537,beam search multinomial sampling,141.60149145126343,0.3518968362462167,0.13289818103978795,0.2850534598754154,0.2854888847841081,0.8989681455434537,0.9071744078514623,0.8912039048531476
xsum,beam-search-multinomial-sampling,11,0.8983099232701695,beam search multinomial sampling,86.46149468421936,0.35338248984134224,0.13743961260314913,0.29230380494528485,0.2918272981004526,0.8983099232701695,0.905063262757133,0.8919088361310024
xsum,beam-search-multinomial-sampling,12,0.8977711767542595,beam search multinomial sampling,83.52262997627258,0.3498299581748028,0.13612523372955734,0.29039535422083784,0.2903873388040409,0.8977711767542595,0.9044739942924649,0.8914535402082929
xsum,beam-search-multinomial-sampling,13,0.8956798887720295,beam search multinomial sampling,69.60738182067871,0.33720553573616113,0.12652189848310746,0.2752592211727516,0.2751880831536073,0.8956798887720295,0.9009620629104913,0.8907056754710627
xsum,beam-search-multinomial-sampling,14,0.8990873887258417,beam search multinomial sampling,68.78693127632141,0.3716809221786027,0.14637125568364037,0.301533973861796,0.3016106754791878,0.8990873887258417,0.9035272896289825,0.8949887267514771
